Date,View,Reply,Repost,Like,Bookmark,Content,URL,Answer,Reason
2024.11.05,48200000,31000,98000,697000,8400,"It is now officially ELECTION DAY! This will be the most important day in American History. Voter enthusiasm is THROUGH THE ROOF because people want to Make America Great Again. That means lines are going to be long! I need you to deliver your vote no matter how long it takes. STAY IN LINE! The Radical Communist Democrats want you to pack up and go home. Together, we are going to have a tremendous victory and MAKE AMERICA GREAT AGAIN!",https://x.com/realDonaldTrump/status/1853809363149852915,Final Answer: half-true,the statement combines accurate information about Election Day and voter turnout with subjective opinions and an unsubstantiated claim regarding Democrats' intentions.
2024.11.05,29300000,9600,43000,253000,4200,"We are building the biggest and broadest coalition in American Political History. This includes record-breaking numbers of Arab and Muslim Voters in Michigan who want PEACE. They know Kamala and her warmonger Cabinet will invade the Middle East, get millions of Muslims killed, and start World War III. VOTE TRUMP, AND BRING BACK PEACE!",https://x.com/realDonaldTrump/status/1853571107439399155,Final Answer: mostly-false,"while the statement accurately highlights a significant shift of Arab and Muslim voters in Michigan toward Trump, there is no evidence supporting the claim that Kamala Harris or her administration planned to invade the Middle East, cause millions of deaths, or start World War III. These assertions are speculative and unsubstantiated. (Sources: nypost.com, apnews.com)"
2024.11.03,22500000,9900,35000,192000,2100,"As we rescue our economy, I will also restore our borders. Over the past 4 years, Kamala has orchestrated the most egregious betrayal that any leader in American history has ever inflicted on our people. She has violated her oath, eradicated our sovereign border, and unleashed an army of gangs and criminal migrants from prisons and jails, insane asylums and mental institutions around the world, from Venezuela to the Congo—stealing countless American lives.",https://x.com/realDonaldTrump/status/1852945058305114396,Final Answer: pants-fire,the statement is a baseless political attack with no supporting evidence.
2024.11.03,63800000,42000,109000,691000,16000,"If Kamala wins, you are 3 days away from the start of a 1929-style economic depression. If I win, you are 3 days away from the best jobs, the biggest paychecks, and the brightest economic future the world has ever seen. Kamala's inflation nightmare has cost the typical American family $30,000 dollars in higher prices—and now, she wants to impose the largest tax hike in American history, and raise your taxes by $3,000 dollars a year. I will massively cut taxes for workers and small businesses—and we will have NO TAX ON TIPS, NO TAX ON OVERTIME, and NO TAX ON SOCIAL SECURITY benefits!",https://x.com/realDonaldTrump/status/1852944751370109241,Final Answer: mostly-false,"while some elements in the statement reflect ongoing political debates, they are exaggerated or unsupported:"
2024.11.01,34100000,26000,89000,388000,11000,"I strongly condemn the barbaric violence against Hindus, Christians, and other minorities who are getting attacked and looted by mobs in Bangladesh, which remains in a total state of chaos. It would have never happened on my watch. Kamala and Joe have ignored Hindus across the world and in America. They have been a disaster from Israel to Ukraine to our own Southern Border, but we will Make America Strong Again and bring back Peace through Strength! We will also protect Hindu Americans against the anti-religion agenda of the radical left. We will fight for your freedom. Under my administration, we will also strengthen our great partnership with India and my good friend, Prime Minister Modi. Kamala Harris will destroy your small businesses with more regulations and higher taxes. By contrast, I cut taxes, cut regulations, unleashed American energy, and built the greatest economy in history. We will do it again, bigger and better than ever before—and we will Make America Great Again. Also, Happy Diwali to All. I hope the Festival of Lights leads to the Victory of Good over Evil!",https://x.com/realDonaldTrump/status/1852033622494105832,Final Answer: mostly-false,"while some statements align with ongoing concerns, others are exaggerated or unsubstantiated:"
2024.11.01,27300000,8000,36000,208000,5600,"I would like to wish our great Bitcoiners a Happy 16th Anniversary of Satoshi's White Paper. We will end Kamala's war on crypto, & Bitcoin will be MADE IN THE USA! VOTE TRUMP! #Bitcoin #FreeRossDayOne",https://x.com/realDonaldTrump/status/1852033244729860397,Final Answer: half-true,the statement accurately notes the 16th anniversary of the Bitcoin white paper but includes misleading claims about Kamala Harris's stance on cryptocurrency and speculative policy proposals.
2024.11.01,26000000,10000,34000,238000,2200,"Just watched Kamala's Fake News Conference - ALL LIES! She is desperate but, more importantly, she looks totally EXHAUSTED! She should rest now, and leave the Campaigning to me!",https://x.com/realDonaldTrump/status/1852033142061707734,Final Answer: uncertain,"the statement consists of subjective opinions without specific, verifiable claims."
2024.11.01,30700000,19000,63000,272000,5500,"Lyin' Kamala is giving a News Conference now, saying that I want to end the Affordable Care Act. I never mentioned doing that, never even thought about such a thing. She also said I want to end Social Security. Likewise, never mentioned it, or thought of it. She is the one that wants to end Social Security and, she will do it, by putting the millions of Migrants coming into our Country into it. Kamala is a LIAR! Everything that comes out of her mouth is a LIE. It's MADE UP FICTION, and she's doing it because she's losing, and losing BIG!",https://x.com/realDonaldTrump/status/1852033066157441249,Final Answer: pants-fire,"the statement contains multiple false claims. Donald Trump has a history of attempting to repeal the Affordable Care Act, making his denial inaccurate. His previous remarks and budget proposals have also suggested openness to entitlement program cuts, contradicting his denial regarding Social Security. Additionally, there is no evidence supporting Kamala Harris wanting to end Social Security or integrating immigrants into it in a way that would undermine its solvency. These claims are unsubstantiated and misleading. (Sources: politifact.com, factcheck.org, fool.com)"
2024.10.31,30700000,14000,42000,242000,4400,"During my Administration, we had peace in the Middle East, and we will have peace again very soon! I will fix the problems caused by Kamala Harris and Joe Biden and stop the suffering and destruction in Lebanon. I want to see the Middle East return to real peace, a lasting peace, and we will get it done properly so it doesn't repeat itself every 5 or 10 years! I will preserve the equal partnership among all Lebanese communities. Your friends and family in Lebanon deserve to live in peace, prosperity, and harmony with their neighbors, and that can only happen with peace and stability in the Middle East. I look forward to working with the Lebanese community living in the United States of America to ensure the safety and security of the great people of Lebanon. Vote Trump for Peace!",https://x.com/realDonaldTrump/status/1851658527187550629,Final Answer: mostly-false,"while there were specific initiatives during Trump's administration, such as the Abraham Accords, which improved relations between Israel and certain Arab nations, these agreements did not equate to widespread peace in the Middle East  as conflicts in Lebanon, Yemen, and Syria persisted. The claim about fixing problems caused by Kamala Harris and Joe Biden is speculative and lacks substantiation. Additionally, there is no concrete evidence to suggest that the Biden administration is solely responsible for the issues in Lebanon, which are rooted in long-standing political and economic crises. (Sources: bbc.com, aljazeera.com, state.gov)"
2024.10.31,10400000,2400,14000,66000,526,"Derrick Anderson is running to represent the wonderful people of Virginia's 7th Congressional District. He bravely fought for our Great Country as a Green Beret, and was deployed to Afghanistan, Bahrain, Jordan, Israel, and Lebanon. Unlike the current administration, he never left anyone behind!   Derrick is America First all the way, and he is running against a weak and pathetic Democrat named Yevgeny “Eugene” Vindman who, along with Adam “Shifty” Schiff and others, lied to push the Ukraine Impeachment Hoax, a continuation of the greatest and most dangerous Political WITCH HUNT in the History of our Country!   Derrick Anderson has my Complete and Total Endorsement - HE WILL NOT LET YOU DOWN!",https://x.com/realDonaldTrump/status/1851643709508714688,Final Answer: half-true,"while Derrick Anderson's military service as a Green Beret and deployments to Afghanistan and other locations are accurate, the claims about Eugene Vindman and his involvement in the impeachment inquiry are exaggerated and misleading. Vindman played a role in whistleblower proceedings, but characterizing him as a central figure in a Ukraine Impeachment Hoax and calling it the greatest political witch hunt lacks context and nuance. The statement reflects political rhetoric rather than fully factual claims. (Sources: apnews.com, factcheck.org)"
2024.10.31,6000000,1400,8800,41000,267,"Kelly Cooper is a fantastic America First Candidate running to represent the Great People of Arizona's 4th Congressional District!   Kelly will be an INCREDIBLE Fighter in Congress. A U.S. Marine Corps Veteran, Kelly knows how to Strengthen our Military, Care for our Veterans, Secure our Border, Stand with our Brave Law Enforcement, and Support our always under siege Second Amendment. As a very successful Small Businessman, Kelly will work hard to Stop Inflation, Grow the Economy, Lower Taxes, and Eliminate Government Waste.   Kelly Cooper has my Complete and Total Endorsement - HE WILL NEVER LET YOU DOWN!",https://x.com/realDonaldTrump/status/1851643623714238496,Final Answer: mostly-true,"Kelly Cooper is indeed a U.S. Marine Corps veteran and a small business owner, which supports his credentials related to military, veteran care, and economic issues. He is running as a Republican candidate in Arizona's 4th Congressional District, aligning with an America First agenda. However, the statement contains subjective assertions, such as Kelly will be an INCREDIBLE Fighter in Congress which cannot be objectively evaluated. There is no evidence provided to substantiate specific claims about his potential impact on inflation or government waste. (Sources: azcentral.com, kellycooperarizona.com)"
2024.10.30,39900000,29000,99000,493000,10000,"While I am running a campaign of positive solutions to save America, Kamala Harris is running a campaign of hate. She has spent all week comparing her political opponents to the most evil mass murderers in history. Now, on top of everything, Joe Biden calls our supporters “garbage.” You can't lead America if you don't love the American People. Kamala Harris and Joe Biden have shown they are both unfit to be President of the United States. I am proud to lead the biggest, broadest, and most important political coalition in American history. We are welcoming historic numbers of Latinos, African Americans, Asian Americans, and citizens of every race, religion, color, and creed. It is my desire to be the President of all the people.",https://x.com/realDonaldTrump/status/1851481562744840576,Final Answer: mostly-false,the statement contains significant exaggerations and unsubstantiated claims:
2024.10.30,18900000,8400,29000,152000,3000,"To the Coptic Christian community living throughout the United States, I deeply admire your Steadfast Faith in God, Perseverance through Centuries of Persecution and Love for this Great Country. I am Counting on your support and vote to help uphold our shared Social and Family Values and continue to Make America Great Again!",https://x.com/realDonaldTrump/status/1851328162346737997,Final Answer: true,"the statement accurately acknowledges the historical perseverance of the Coptic Christian community through centuries of persecution and their contributions in the United States. The expression of admiration and campaign appeal reflects the candidate's perspective and intent, which are not factually disputable. (Sources: persecution.org, worldatlas.com)"
2024.10.30,19100000,6800,29000,156000,2200,"The Democrats have not only greatly demeaned and embarrassed Crooked Joe Biden, but now they're demanding that he be nowhere near Lyin' Kamala's Campaign. It's not good enough that they took the Presidency away from him, just like you take candy away from a baby, but now they have to further embarrass him by telling him to, “GET LOST.” They are a Threat to Democracy!",https://x.com/realDonaldTrump/status/1851309363207541238,Final Answer: false,"the statement makes unverified assertions about Democratic leaders' treatment of Joe Biden and their involvement in Kamala Harris's campaign, lacking supporting evidence."
2024.10.30,35400000,20000,89000,338000,11000,"Wow! York County, Pennsylvania, received THOUSANDS of potentially FRAUDULENT Voter Registration Forms and Mail-In Ballot Applications from a third party group. This is on top of Lancaster County being caught with 2600 Fake Ballots and Forms, all written by the same person. Really bad “stuff.” WHAT IS GOING ON IN PENNSYLVANIA??? Law Enforcement must do their job, immediately!!! WOW!!!",https://x.com/realDonaldTrump/status/1851309196827828616,Final Answer: mostly-false,the statement exaggerates and misrepresents the nature of the issues in Lancaster County and lacks confirmed evidence of fraud in York County.
2024.10.29,6400000,1500,7900,40000,336,"Jerrod Sessler is a fantastic Candidate and will be a GREAT Congressman for Washington State's 4th Congressional District. A Navy Veteran, Entrepreneur, Loving Father and Husband, Jerrod will fight hard every day to Secure the Border, Stand for the Rule of Law, Strengthen our Military, Take Care of our Vets, Defend our Nation, and Protect our always under siege Second Amendment. He is running against a Weak and Pathetic RINO named Newhouse, who voted to, for no reason, Impeach me. Newhouse has to go! He wished he didn't do what he did, but it's too late, and besides that, he didn't represent the people nearly as well as Jerrod will. Jerrod will do an incredible job - He is MAGA all the way, and has my Complete and Total Endorsement. JERROD SESSLER WILL NEVER LET YOU DOWN!!!",https://x.com/realDonaldTrump/status/1851277271295725839,Final Answer: mostly-true,"Jerrod Sessler is indeed a candidate for Washington State's 4th Congressional District and is a Navy veteran and entrepreneur, aligning with the biographical claims. He has campaigned on securing the border, defending the Second Amendment, and supporting veterans, which are consistent with his public platform. The statement about Dan Newhouse voting for Trump's impeachment is accurate, as Newhouse was one of the Republicans who voted to impeach Trump following the January 6 Capitol attack. However, the subjective assertions about Newhouse being weak and pathetic and wishing he didn't do what he did are opinions and cannot be fact-checked. (Sources: jerrodsessler.com, house.gov, apnews.com)"
2024.10.26,30200000,11000,44000,255000,4600,"Kamala Harris has finally lost the Catholic vote. Her and the Democrat's persecution of the Catholic Church is unprecedented! Her poll numbers have dropped like a rock, both with Catholics, and otherwise. What took so long? RFK JR. has been pushing hard for Catholics to VOTE FOR TRUMP. Kamala again made a fool of herself last night at a Radical Left fundraiser, and this after putting on a very Low IQ display at a FAKE NEWS CNN Town Hall. She was almost incoherent, and even host Allison Cooper, who couldn't get her to make any sense, became agitated. Kamala is DEMANDING LATE TERM ABORTION, in months 7, 8, and 9, and even execution after birth, and people aren't buying it - and they never will. She is a Radical Left Lunatic!",https://x.com/realDonaldTrump/status/1849874315652759706,Final Answer: pants-fire,the statement contains numerous false and exaggerated claims:
2024.10.26,29700000,25000,77000,30100,11000,"CEASE & DESIST: I, together with many Attorneys and Legal Scholars, am watching the Sanctity of the 2024 Presidential Election very closely because I know, better than most, the rampant Cheating and Skullduggery that has taken place by the Democrats in the 2020 Presidential Election. It was a Disgrace to our Nation! Therefore, the 2024 Election, where Votes have just started being cast, will be under the closest professional scrutiny and, WHEN I WIN, those people that CHEATED will be prosecuted to the fullest extent of the Law, which will include long term prison sentences so that this Depravity of Justice does not happen again. We cannot let our Country further devolve into a Third World Nation, AND WE WON'T! Please beware that this legal exposure extends to Lawyers, Political Operatives, Donors, Illegal Voters, & Corrupt Election Officials. Those involved in unscrupulous behavior will be sought out, caught, and prosecuted at levels, unfortunately, never seen before in our Country.",https://x.com/realDonaldTrump/status/1849873999570043323,Final Answer: pants-fire,"the statement is a mix of baseless accusations, hyperbolic rhetoric, and unsubstantiated claims regarding the 2020 and 2024 U.S. Presidential Elections:"
2024.10.26,19700000,91000,44000,201000,3400,"Sleepy Joe Biden and Comrade Kamala Harris ridiculously accuse me of wanting to “weaponize” the Justice Department, when they have done all of the weaponizing. Now, their truly Weaponized Department of “Injustice,” and a Judge (appointed by Joe), have ORDERED the Great Commonwealth of Virginia to PUT NON-CITIZEN VOTERS BACK ON THE ROLLS. This is a totally unacceptable travesty, and Governor Youngkin is absolutely right to appeal this ILLEGAL ORDER, and the U.S. Supreme Court will hopefully fix it! Only U.S. Citizens should be allowed to vote. Keep fighting, Glenn - AND REPUBLICANS IN VIRGINIA, KEEP VOTING EARLY! I will be calling in to Glenn's Rally with Lara Trump tomorrow morning to talk about this crazy Ruling, and announce my final stop in Virginia before Election Day. TUNE IN!",https://x.com/realDonaldTrump/status/1849854572317245951,Final Answer: pants-fire,the statement contains multiple false and misleading claims:
2024.10.25,11000000,4300,14000,86000,739,"Lara Trump, our incredibly smart and talented Republican National Committee Co-Chair who did a fantastic job this week on the “Breakfast Club” program, will be joining Governor Glenn Youngkin at a rally in the Commonwealth of Virginia this Saturday to encourage everyone to VOTE EARLY. Glenn has given the people of Virginia great confidence their vote will be SECURE and ONLY ALL LEGAL VOTES WILL BE COUNTED. In fact, Virginia early vote is looking tremendous enough for the GOP that perhaps Lara is not the only TRUMP you will see in the Commonwealth before Election Day. Stay tuned! https://swampthevoteusa.com",https://x.com/realDonaldTrump/status/1849538122113019970,Final Answer: true,"the statement accurately describes Lara Trump's position, her recent media appearance, and her participation in a Virginia rally, with subjective elements noted."
2024.10.25,20300000,10000,27000,171000,2300,"Thank you for your support against a total degenerate named John Kelly, who made up a story out of pure Trump Derangement Syndrome Hatred! This guy had two qualities, which don't work well together. He was tough and dumb. The problem is his toughness morphed into weakness, because he became JELLO with time! The story about the Soldiers was A LIE, as are numerous other stories he told. Even though I shouldn't be wasting my time with him, I always feel it's necessary to hit back in pursuit of THE TRUTH. John Kelly is a LOWLIFE, and a bad General, whose advice in the White House I no longer sought, and told him to MOVE ON! His wife once told me, at Camp David, John admires you tremendously, and when he leaves the Military, he will only speak well of you. I said, Thank you!",https://x.com/realDonaldTrump/status/1849537439720931529,Final Answer: false,"the statement contains multiple false claims regarding John Kelly's accounts and character, with some subjective opinions and unverifiable assertions."
2024.10.24,33300000,19000,68000,404000,5800,"Comrade Kamala Harris sees that she is losing, and losing badly, especially after stealing the Race from Crooked Joe Biden, so now she is increasingly raising her rhetoric, going so far as to call me Adolf Hitler, and anything else that comes to her warped mind. She is a Threat to Democracy, and not fit to be President of the United States — And her Polling so indicates!",https://x.com/realDonaldTrump/status/1849272632237056163,Final Answer: false,"the statement contains multiple false claims regarding Kamala Harris's rhetoric, the Democratic nomination process, and her polling status."
2024.10.22,24000000,12000,41000,214000,3100,"When will CBS release their Transcript of the fraudulent Interview with Comrade Kamala Harris? They changed her answer in order to make Kamala look intelligent, rather than “dumb as a rock.” This may be the Biggest Scandal in Broadcast History! CBS MUST GET THE TRANSCRIPT OUT NOW — Litigation has already started. Harris wasn't able to put two sentences together, so they completely removed her answer, and put in another one. The Public has a right to know what was changed to save this TOTALLY UNFIT Presidential Candidate from our Country's Voters. SHE IS A THREAT TO DEMOCRACY!",https://x.com/realDonaldTrump/status/1848434382148931594,Final Answer: false,"the claims that CBS deceitfully edited Vice President Harris's interview to alter her responses are unsubstantiated; the network's editing practices align with standard procedures, and there is no evidence of fabricated content."
2024.10.17,31800000,18000,56000,335000,5500,"Great job by Bret Baier in his Interview with Lyin' Kamala Harris. She has a massive and irredeemable case of TRUMP DERANGEMENT SYNDROME - So bad, in fact, that she is barely able to talk about any subject other than the man who had the best economy ever, the strongest border in history, and who just got the UNANIMOUS ENDORSEMENT OF THE U.S. Border Patrol, ME! Their Endorsement was a TREMENDOUS HONOR!!! They said that Comrade Kamala did a terrible job, the absolute worst in memory, and can't be allowed to do it again. She is also the WORST Vice President in history, but hopefully will soon be GONE. Again, congratulations to Bret Baier on a tough but very fair interview, one that clearly showed how totally incompetent Kamala is. For the good of our Nation, her inferior Cognitive ability must be tested at once!",https://x.com/realDonaldTrump/status/1846753218908307858,Final Answer: half-true,the statement accurately reflects the National Border Patrol Council's endorsement of Donald Trump but includes subjective opinions about Vice President Harris's performance and mischaracterizes the content of her interview with Bret Baier.
2024.10.17,85600000,12000,46000,280000,4700,"Kamala's support is collapsing with Black voters. Inflation is hell. Worse, their cities are being used as illegal alien dumping grounds. If Kamala gets 4 more years, the Black Community loses its political power forever because their neighborhoods will all be majority migrant.",https://x.com/realDonaldTrump/status/1846646182841385407,Final Answer: mostly-false,"while it's true that inflation has disproportionately affected Black Americans, the claims about Vice President Harris's collapsing support among Black voters and the loss of political power due to immigration are exaggerated and lack substantial evidence."
